"","x","y","ID","SA"
"332",2466.86248779297,-3437.56809082031,"",""
"333",2471.90147705078,-3543.03034667969,"",""
"334",2478.94946289062,-3451.22308349609,"",""
"335",2470.56090087891,-3463.33869628906,"",""
"336",2482.12430419922,-3468.18323974609,"",""
"337",2488.15378417969,-3475.18598632812,"",""
"338",2492.76549072266,-3480.61448974609,"",""
"339",2473.23686523437,-3496.92407226562,"",""
"340",2486.84786376953,-3492.298046875,"",""
"341",2468.99910888672,-3399.2994140625,"",""
"342",2497.99581298828,-3511.82189941406,"",""
"343",2490.25782470703,-3518.27990722656,"",""
"344",2492.87132568359,-3531.05771484375,"",""
"345",2475.90992431641,-3531.23203125,"",""
"346",2489.09384765625,-3502.42333984375,"",""
"347",1660.28719482422,-3786.11540527344,"",""
"348",1661.17351074219,-3797.39533691406,"",""
"349",1656.19937133789,-3803.33330078125,"",""
"350",1653.83624267578,-3811.92502441406,"",""
"351",1640.94139404297,-3810.26818847656,"",""
"352",1668.34787597656,-3811.89348144531,"",""
"353",1659.87142944336,-3820.01081542969,"",""
"354",1645.04332885742,-3826.1255859375,"",""
"355",1674.40495605469,-3832.14572753906,"",""
"356",1660.84812011719,-3834.78537597656,"",""
"357",1646.81098022461,-3840.68557128906,"",""
"358",1673.20777587891,-3845.27880859375,"",""
"359",1657.27411499023,-3853.52854003906,"",""
"360",1665.17376098633,-3850.8453125,"",""
"361",1671.91275024414,-3858.25458984375,"",""
"362",1648.23591308594,-3860.7896484375,"",""
"363",1644.56489257812,-3871.00749511719,"",""
"364",1675.55326538086,-3877.27126464844,"",""
"365",1661.02783203125,-3875.06284179688,"",""
"366",1651.34092407227,-3879.29208984375,"",""
"367",1644.97422485352,-3894.27583007812,"",""
"368",1658.28546142578,-3891.30830078125,"",""
"369",1668.08442993164,-3903.01530761719,"",""
"370",1653.88646240234,-3910.41420898437,"",""
"371",1642.05971679687,-3913.22153320313,"",""
"372",1671.29444580078,-3927.01162109375,"",""
"373",1652.31885986328,-3933.60244140625,"",""
"374",1639.3741027832,-3937.48264160156,"",""
"375",1664.67592163086,-3941.94763183594,"",""
"376",1652.76564941406,-3952.46223144531,"",""
"377",1665.70158691406,-3968.0357421875,"",""
"378",1649.0368347168,-3965.25539550781,"",""
"379",1651.95829467773,-3981.44689941406,"",""
